date,traffic,referrer,agent_type,agent_type_plus,destination,requests,median_ttfb,upper95_ttfb,upper99_ttfb,total_ttfb
2017-07-26,external,external (search engine),user,user,SPARQL endpoint,2202,0.105981,0.1690893000000003,0.34770984000000005,201.02830299999997
2017-08-18,external,external,spider,bot,homepage,4,0.000776,0.13568539999999996,0.16259068,0.171346
2017-08-23,external,none,user,user,homepage,2193,0.0003395,0.08693685,0.0930274,33.850424
2017-10-06,external,external,spider,bot,homepage,7,0.000154,0.0009902,0.00100364,0.0030940000000000004
2017-10-26,external,unknown,user,user,SPARQL endpoint,22698,0.1008259375,0.18530329999999998,0.31453380000000003,2507.09082
2017-10-29,external,none,user,user,homepage,1226,0.00033,0.086871,0.09684366000000001,17.528696999999998
2017-06-21,external,external,spider,bot,SPARQL endpoint,2,0.08507,0.085259,0.0852758,0.17035
2017-07-17,external,internal,spider,bot,SPARQL endpoint,1,0.101225,0.101225,0.101225,0.101225
2017-09-25,internal,none,user,user,SPARQL endpoint,2,0.520928,1.0039643,1.04690086,1.578563
2017-11-13,internal,none,user,user,SPARQL endpoint,754,0.032899,0.4216222999999994,3.9200278000000006,277.844802
2017-04-26,external,internal,user,user,homepage,480,0.075497,0.12183,0.1222898,30.739357
2017-06-08,internal,none,spider,bot,SPARQL endpoint,1039702,0.01755934759733267,0.11048038770429601,1.8085435588571421,105204.7714739999
2017-08-13,external,none,spider,bot,homepage,6540,0.000102,0.000904,0.0019318000000000028,3.142349999999999
2017-10-19,external,none,spider,bot,homepage,281,0.000566,0.0861036,0.09396458,2.2693600000000003
2017-08-09,external,internal,user,user,SPARQL endpoint,31359,0.052125000000000005,0.4014172999999999,8.029067399999994,11765.567284
2017-09-15,internal,none,spider,bot,SPARQL endpoint,1184527,0.02059268791955694,0.1689445942490815,2.187057439999999,138514.06916199997
2017-11-03,internal,none,spider,bot,SPARQL endpoint,1204269,0.019910895331727838,0.12663222920235762,1.6907109779338858,129802.32303800003
2017-04-25,external,external,user,user,SPARQL endpoint,2444,0.136455,0.8282315999999976,10.378864119999974,1337.6341490000004
2017-09-02,external,unknown,user,user,SPARQL endpoint,7042,0.101863,0.1841499,0.3311724199999998,796.0799179999999
2017-09-05,external,none,user,user,homepage,2080,0.000292,0.086784,0.09524419999999999,33.068642
2017-09-29,external,external,user,user,homepage,135,0.000695,0.09180175,0.24528275000000127,3.555927
2017-10-23,internal,internal,user,user,SPARQL endpoint,1,0.242328,0.242328,0.242328,0.242328
2017-11-08,external,unknown,user,user,SPARQL endpoint,18205,0.10110431249999999,0.1971926875,0.33294005000000054,2323.0845710000012
2017-05-02,external,external (search engine),user,user,SPARQL endpoint,10974,0.163508,0.21365579999999998,0.3081157400000001,1760.048919
2017-07-23,external,internal,spider,bot,homepage,1,0.000517,0.000517,0.000517,0.000517
2017-08-28,external,internal,user,user,SPARQL endpoint,31737,0.09505633333333333,0.46387739999999955,5.702763660000033,10085.244422000005
2017-07-15,external,none,user,bot,SPARQL endpoint,7958,0.102336,0.5434277999999974,8.516321300000001,3324.6052309999995
2017-07-19,internal,none,user,user,SPARQL endpoint,2,0.413448,0.8656008,0.9057921599999998,1.329288
2017-08-27,external,external (search engine),user,user,SPARQL endpoint,1983,0.1071665,0.17974529999999994,0.4547621100000006,1509.2912199999998
2017-09-19,external,external,spider,bot,homepage,7,0.0001005,0.0005351999999999998,0.0006550399999999999,0.0014269999999999999
2017-10-15,external,external (search engine),user,user,SPARQL endpoint,2230,0.110211,0.3267835,1.1359353999999926,332.6954629999999
