ts,traffic,destination,median,percentile99,maximum
2017-10-02T06:00:00Z,internal,/sparql,16,40,52
2017-10-02T07:00:00Z,external,/bigdata/ldf,10,127,133
2017-10-02T07:00:00Z,external,/sparql,6,32,58
2017-10-02T07:00:00Z,internal,/sparql,18,38,49
2017-10-02T08:00:00Z,external,/bigdata/ldf,9,135,140
2017-10-02T08:00:00Z,external,/sparql,9,39,98
2017-10-02T08:00:00Z,internal,/sparql,17,43,51
2017-10-02T09:00:00Z,external,/bigdata/ldf,9,140,143
2017-10-02T09:00:00Z,external,/sparql,12,36,58
2017-10-02T09:00:00Z,internal,/sparql,21,48,59
2017-10-02T10:00:00Z,external,/bigdata/ldf,12,144,146
2017-10-02T10:00:00Z,external,/sparql,13,36,57
2017-10-02T10:00:00Z,internal,/sparql,18,46,63
2017-10-02T11:00:00Z,external,/bigdata/ldf,11,143,146
2017-10-02T11:00:00Z,external,/sparql,14,37,70
2017-10-02T11:00:00Z,internal,/sparql,18,42,53
2017-10-02T12:00:00Z,external,/bigdata/ldf,11,146,146
2017-10-02T12:00:00Z,external,/sparql,13,35,118
2017-10-02T12:00:00Z,internal,/sparql,23,48,59
2017-10-02T13:00:00Z,external,/bigdata/ldf,9,140,145
2017-10-02T13:00:00Z,external,/sparql,13,39,77
2017-10-02T13:00:00Z,internal,/sparql,16,41,51
2017-10-02T14:00:00Z,external,/bigdata/ldf,10,145,147
2017-10-02T14:00:00Z,external,/sparql,13,52,74
2017-10-02T14:00:00Z,internal,/sparql,16,47,63
2017-10-02T15:00:00Z,external,/bigdata/ldf,9,134,136
2017-10-02T15:00:00Z,external,/sparql,10,31,63
2017-10-02T15:00:00Z,internal,/sparql,16,41,51
2017-10-02T16:00:00Z,external,/bigdata/ldf,14,133,140
2017-10-02T16:00:00Z,external,/sparql,10,34,82
2017-10-02T16:00:00Z,internal,/sparql,19,40,48
2017-10-02T17:00:00Z,external,/bigdata/ldf,10,139,143
2017-10-02T17:00:00Z,external,/sparql,18,51,82
2017-10-02T17:00:00Z,internal,/sparql,13,30,41
2017-10-02T18:00:00Z,external,/bigdata/ldf,10,139,142
2017-10-02T18:00:00Z,external,/sparql,16,59,74
2017-10-02T18:00:00Z,internal,/sparql,13,32,42
2017-10-02T19:00:00Z,external,/bigdata/ldf,8,140,146
2017-10-02T19:00:00Z,external,/sparql,19,41,65
2017-10-02T19:00:00Z,internal,/sparql,13,34,42
2017-10-02T20:00:00Z,external,/bigdata/ldf,11,142,143
2017-10-02T20:00:00Z,external,/sparql,7,33,71
2017-10-02T20:00:00Z,internal,/sparql,13,28,36
2017-10-02T21:00:00Z,external,/bigdata/ldf,9,143,148
2017-10-02T21:00:00Z,external,/sparql,18,33,55
2017-10-02T21:00:00Z,internal,/sparql,14,36,44
2017-10-02T22:00:00Z,external,/bigdata/ldf,11,136,142
