date,traffic,agent_type,agent_type_plus,requests,lower10_ttfb,lower25_ttfb,median_ttfb,upper75_ttfb,upper95_ttfb,upper99_ttfb,total_ttfb
2017-06-27,internal,user,user,2,0.462429,0.462429,0.462429,0.4923895,0.5103658,0.52115158,0.984779
2017-11-03,internal,user,user,754,0.0202048,0.028902,0.033506,0.06809,0.2061440000000001,7.2145854400001355,344.4620010000001
2017-07-30,internal,user,user,2,0.345,0.345,0.345,0.3885545,0.41468720000000003,0.43036682000000004,0.777109
2017-08-18,internal,user,bot,1188697,8.897415467411234e-05,0.0002729562062321743,0.016141238747656283,0.01846505913312714,0.02617438289080622,0.19372894435374174,24230.794499000112
2017-09-21,internal,user,bot,953448,9.102693921860924e-05,9.102693921860924e-05,0.01571573108930467,0.018307370650107825,0.024935445118954437,0.17572553111111125,21025.45858600043
2017-10-10,internal,user,user,2,0.613673,0.613673,0.613673,0.623227,0.6289594000000001,0.63239884,1.246454
2017-09-07,internal,spider,bot,1112780,0.01640273004016286,0.01770913100088412,0.020687382022138785,0.05281218010948283,0.08279076690173166,1.6554672041666632,110620.35901699986
2017-07-25,internal,user,bot,374494,8.034522493701711e-05,9.078888515933473e-05,0.015133298412757368,0.01666185859394374,0.01893611384926145,0.09696447999999987,5586.843666000067
2017-08-05,external,spider,bot,850533,0.01494418185813756,0.016282732998843336,0.022912925254137424,0.07551950005425345,0.15883564694195673,0.589309734625852,87092.77909900027
2017-05-29,internal,user,bot,1053,0.0147184,0.02384025,0.031788,0.06363625,0.3008434000000006,29.821784150000052,953.164518
2017-06-23,external,user,bot,72887,0.008503997753906247,0.016870009964740276,0.0194041301181427,0.034964602857142854,0.10504803200000001,0.8346104500000097,10307.289784999995
2017-08-06,internal,user,user,6,8.7e-05,9.3e-05,0.000105,0.1241475,0.3657960000000001,0.5455511999999999,0.8141099999999999
2017-10-05,internal,user,bot,324473,8.220497477570194e-05,0.00023883636077611924,0.01575461417469767,0.018128408788184943,0.02736274945151697,0.14855859000000032,8059.222533000076
2017-06-09,external,spider,bot,4234571,0.00012975855109942713,0.00012975855109942713,0.018248510548370768,0.10075163963138922,0.1364960571601701,0.4016922806427039,340106.0862570226
2017-04-27,external,user,bot,19568,0.00010116135275606123,0.00027991999999999996,0.12667625,0.13842725,0.17085440000000002,0.9822362799999985,3263.228061
2017-07-12,external,spider,bot,907163,9.929593984667946e-05,0.08586063372812738,0.10300877425989331,0.12052170067726194,0.2137659935636489,0.5677814365432098,126531.23111800029
